node_type,timestamp,power
gpu,1773586800000,111872.87497099998
gpu,1773590400000,103749.04776000002
gpu,1773594000000,114931.03021299998
gpu,1773597600000,112039.42735
gpu,1773601200000,120978.83910300003
gpu,1773604800000,112249.502083
gpu,1773608400000,112981.65648399996
gpu,1773612000000,116313.71190600003
gpu,1773615600000,122223.988223
gpu,1773619200000,122809.64081200004
gpu,1773622800000,108265.51097199997
gpu,1773626400000,124045.22699399998
gpu,1773630000000,122325.009411
gpu,1773633600000,129682.13342099999
gpu,1773637200000,120502.37407299998
gpu,1773640800000,119352.97504199996
gpu,1773644400000,131503.174508
gpu,1773648000000,126626.37916700004
gpu,1773651600000,116107.67493100007
gpu,1773655200000,120786.58980700001
gpu,1773658800000,120989.56718999997
gpu,1773662400000,99305.22762900003
gpu,1773666000000,96005.19135199998
gpu,1773669600000,114375.23123200003
gpu,1773673200000,121358.4705300001
gpu,1773676800000,114801.67865599997
gpu,1773680400000,121160.69377800003
gpu,1773684000000,125589.33038300002
gpu,1773687600000,118917.429313
gpu,1773691200000,130063.60659400001
gpu,1773694800000,125053.01024199995
gpu,1773698400000,127328.11052700001
gpu,1773702000000,139598.45154900008
gpu,1773705600000,127803.51272900001
gpu,1773709200000,138294.83137299994
gpu,1773712800000,127113.38047599999
gpu,1773716400000,127774.12912799996
gpu,1773720000000,104517.07911099997
gpu,1773723600000,122666.91733600001
gpu,1773727200000,114318.63495099997
gpu,1773730800000,105838.84214399997
gpu,1773734400000,122251.17515400003
gpu,1773738000000,116611.67226199996
gpu,1773741600000,112643.52877700003
gpu,1773745200000,115521.47871700002
gpu,1773748800000,114454.80431800001
gpu,1773752400000,109600.79374800001
gpu,1773756000000,111996.924239
gpu,1773759600000,107000.926355
gpu,1773763200000,117716.23046499999
gpu,1773766800000,127043.59053999999
gpu,1773770400000,120461.26269200005
gpu,1773774000000,120897.19003999996
gpu,1773777600000,116525.056917
gpu,1773781200000,118348.698296
gpu,1773784800000,121897.70133500003
gpu,1773788400000,130503.404696
gpu,1773792000000,123560.72839700001
gpu,1773795600000,135548.89680100002
gpu,1773799200000,124817.715448
gpu,1773802800000,118825.305721
gpu,1773806400000,122058.65596100003
gpu,1773810000000,116322.41863100001
gpu,1773813600000,121350.51256600003
gpu,1773817200000,117662.22255399998
gpu,1773820800000,111042.63942900002
gpu,1773824400000,111658.18119699998
gpu,1773828000000,103194.71117099996
gpu,1773831600000,105389.77353599998
gpu,1773835200000,102390.25602099996
gpu,1773838800000,101552.19940799999
gpu,1773842400000,108205.63819299999
gpu,1773846000000,100924.45024100001
gpu,1773849600000,107787.538347
gpu,1773853200000,111792.15337899998
gpu,1773856800000,123449.90630899998
gpu,1773860400000,121155.09742600004
gpu,1773864000000,105826.94324699999
gpu,1773867600000,117968.25400899998
gpu,1773871200000,109038.07947800001
gpu,1773874800000,115132.10692100003
gpu,1773878400000,112967.01862600003
gpu,1773882000000,108719.67664499999
gpu,1773885600000,125465.57342000003
gpu,1773889200000,124206.43729900003
gpu,1773892800000,120788.803164
gpu,1773896400000,126368.36985600002
gpu,1773900000000,122310.70042799998
gpu,1773903600000,122796.17174199999
gpu,1773907200000,114288.42043599997
gpu,1773910800000,121528.662564
gpu,1773914400000,117851.01828200002
gpu,1773918000000,113356.69757399996
gpu,1773921600000,119236.778511
gpu,1773925200000,116976.646123
gpu,1773928800000,113156.10078400002
gpu,1773932400000,118990.36560900004
gpu,1773936000000,122136.55699899996
gpu,1773939600000,123291.39635099997
gpu,1773943200000,113242.27902099998
gpu,1773946800000,125722.60273700005
