,time_start,time_end,id,energy,carbon/operational,carbon/embodied,carbon,sci
36,1772658048,1772692009,15394241,0.0001725063156353,37.21390993836954,422.4715045416172,459.68541447998354,0.8121650432508543
37,1772658048,1772692542,15394242,0.0001724896668488,37.733364194585754,428.4428332277178,466.17619742229994,0.8121536540458187
38,1772658018,1772691145,15394239,0.0001721267072488,36.2119603449199,412.02167934094115,448.2336396858579,0.8120174631990179
39,1772657928,1772686828,15394238,0.0001720936365985,31.54641221380796,359.0261372517983,390.57254946560306,0.8120011423401311
40,1772650634,1772653362,15394237,0.0001720573874186,2.950670100671795,33.588723859315586,36.53939395998738,0.811986532444164
41,1772649554,1772684751,15394236,0.0001718882066102,38.40394217949299,437.3998262568687,475.8037684363577,0.811951823270235
42,1772647303,1772659801,15394235,0.0001717516836666,13.62251239079933,155.25454583861512,168.87705822941356,0.8119089337952575
43,1772581073,1772581152,15394234,0.0001645642291292,0.0626989712982407,2.9081397866497674,2.970838757948008,2.970838757948008
44,1772580293,1772580360,15394231,0.000163089259349,0.0621370078119727,2.9081397866497674,2.97027679446174,2.97027679446174
45,1772486919,1772748552,15394228,0.0001717031290567,285.2187668306228,1369.3510667511027,1654.5698335817876,0.379488493940777
46,1772483167,1772486846,15394226,0.0001734080663464,4.027638441540998,19.15835208069287,23.18599052223385,0.3800982052825221
47,1772483137,1772486822,15394225,0.0001734072603499,4.026998129757859,19.15835208069287,23.18535021045071,0.3800877083680445
48,1772482957,1772483085,15394223,0.0001721594930449,0.1302571218972931,0.6281426911702577,0.7583998130675508,0.3791999065337754
49,1772482957,1772483086,15394224,0.0001724405167846,0.1309356963291467,0.6281426911702577,0.7590783874994044,0.3795391937497022
50,1772218071,1772384355,15394216,0.0001723617863798,181.9677701884208,4065.0310987010766,4246.998868889302,1.5326592814468791
51,1772217590,1772947952,15394215,0.0003443601310323,798.5150556402153,5700.46012779928,6498.975183439109,1.067856586171395
52,1772212670,1772217442,15394209,0.0001734273650587,5.216308266472955,36.99772840092946,42.2140366674024,0.5343548945240809
53,1772212610,1772217358,15394208,0.0001734231680422,5.215938959879995,36.99772840092946,42.21366736080945,0.5343502197570816
54,1771955372,1772379186,15394205,0.0001733936966125,466.609003262787,3307.784249313826,3774.39325257626,0.5343895303095371
55,1771955358,1772250240,15394204,0.0001733895850888,324.6306542356794,2301.352371673001,2625.983025908683,0.5343880801604971
56,1771907182,1772987186,15394200,0.000343790041667,1180.3521995863948,8429.862167301482,9610.214366886788,1.0678015963207543
57,1771907002,1772696452,15394199,0.0003467855828619,869.1114299706776,6161.292592945195,7030.404022915333,1.068775315128509
58,1771906582,1772238136,15394198,0.0001733952353169,365.0022860367385,2587.499359685353,2952.501645721985,0.5343894381397257
59,1771906413,1772234706,15394197,0.0001733917592383,361.4233982499133,2562.209773183443,2923.633171433271,0.5343873462681906
60,1771874389,1771952969,15394192,0.0001734761235985,86.51225648197968,1165.7050778939854,1252.2173343759373,0.9566213402413576
61,1771874382,1771952621,15394191,0.000173474269614,86.11496738567241,1160.3618918990549,1246.476859284699,0.9566207669107436
62,1771874360,1771957516,15394189,0.0001734739372413,91.53413570918504,1233.3854338297722,1324.919569538927,0.95662062782594
63,1771874270,1771955151,15394187,0.0001734745569664,89.08914310072542,1200.435786861034,1289.524929961729,0.9566208679241311
